,Date,,Message,Code,Parameter_From,Parameter_To
39,30/4/2018 4:33:51 PM,1,Work Data Change: Strip Depth (Open length) is from 0.50 to 1.00,515,0.5,1
40,30/4/2018 4:33:51 PM,1,Work Data Change: Strip Length 2 is from 2.7 to 0.0,769,2.7,0
41,30/4/2018 4:33:51 PM,1,Work Data Change: Crimp Height 1 is from 0.75 to 1.50,1026,0.75,1.5
42,30/4/2018 4:33:51 PM,1,Work Data Change: Crimp Position 1 is from 9.1 to 10.0,1025,9.1,10
43,30/4/2018 4:33:51 PM,1,Work Data Change: Crimp Position 2 is from 9.4 to 10.0,1281,9.4,10
44,30/4/2018 4:33:51 PM,1,Work Data Change: Crimp Height 2 is from 0.86 to 1.50,1282,0.86,1.5
45,30/4/2018 4:33:51 PM,1,Work Data Change: Seal 2 Insert Length is from 5.8 to 0.0,1793,5.8,0
46,30/4/2018 4:33:51 PM,1,Work Data Change: Seal 2 Insert Back Length is from 0.4 to 0.0,1794,0.4,0
47,30/4/2018 4:37:04 PM,10,Bank Load: Bank change into 760,760,,
48,30/4/2018 4:37:04 PM,1,Work Data Change: Wire Length Correction 2 is from 0.0 to 1.3,2562,0,1.3
49,30/4/2018 4:37:04 PM,2,Button Change: Strip 1 is to ON,769,1,
50,30/4/2018 4:37:04 PM,2,Button Change: Crimp 1 is to ON,770,1,
51,30/4/2018 4:37:04 PM,2,Button Change: Seal 1 is to ON,771,1,
52,30/4/2018 4:37:04 PM,2,Button Change: Detection status of no seal 1 is to ON,2581,1,
53,30/4/2018 4:37:04 PM,2,Button Change: Detection status of seal insert error 1 is to ON,2583,1,
54,30/4/2018 4:37:04 PM,2,Button Change: Strip 2 is to ON,1025,1,
55,30/4/2018 4:37:04 PM,2,Button Change: Crimp 2 is to ON,1026,1,
56,30/4/2018 4:37:04 PM,1,Work Data Change: Wire Length is from 100 to 1045,257,100,1045
57,30/4/2018 4:37:04 PM,1,Work Data Change: Strip Length 1 is from 0.0 to 3.5,513,0,3.5
58,30/4/2018 4:37:04 PM,1,Work Data Change: Semi-Strip Length 1 is from 0.0 to 3.0,514,0,3
59,30/4/2018 4:37:04 PM,2,Button Change: Detection status of strip error 1 is to ON,2573,1,
60,30/4/2018 4:37:04 PM,1,Work Data Change: Strip Depth (Open length) is from 1.00 to 0.40,515,1,0.4
61,30/4/2018 4:37:04 PM,1,Work Data Change: Strip Length 2 is from 0.0 to 3.4,769,0,3.4
62,30/4/2018 4:37:04 PM,1,Work Data Change: Crimp Position 1 is from 10.0 to 10.4,1025,10,10.4
63,30/4/2018 4:37:04 PM,2,Button Change: Detection status of strip error 2 is to ON,2574,1,
64,30/4/2018 4:37:04 PM,1,Work Data Change: Crimp Height 1 is from 1.50 to 0.81,1026,1.5,0.81
65,30/4/2018 4:37:04 PM,1,Work Data Change: Crimp Position 2 is from 10.0 to 9.4,1281,10,9.4
66,30/4/2018 4:37:04 PM,1,Work Data Change: Seal 1 Insert Length is from 0.0 to 5.2,1537,0,5.2
67,30/4/2018 4:37:04 PM,1,Work Data Change: Crimp Height 2 is from 1.50 to 0.66,1282,1.5,0.66
68,30/4/2018 4:37:04 PM,1,Work Data Change: Seal 1 Insert Back Length is from 0.0 to 0.9,1538,0,0.9
69,30/4/2018 4:37:04 PM,1,Work Data Change: Seal 1 Insert Speed is from 2500 to 2000,1539,2500,2000
70,30/4/2018 4:37:04 PM,1,Work Data Change: Seal 1 Insert Acceleration is from 100 to 500,1540,100,500
71,30/4/2018 4:37:04 PM,1,Work Data Change: Seal 1 Length of the Seal is from 6.0 to 7.0,1541,6,7
72,30/4/2018 4:37:04 PM,1,Work Data Change: Seal 2 Insert Length is from 0.0 to 6.4,1793,0,6.4
73,30/4/2018 4:37:04 PM,1,Work Data Change: Seal 2 Insert Speed is from 2500 to 1500,1795,2500,1500
74,30/4/2018 4:37:26 PM,1,Work Data Change: Wire Length is from 1045 to 2850,257,1045,2850
75,30/4/2018 4:37:30 PM,2,Button Change: Crimp 1 Switch is to ON,1281,1,
76,30/4/2018 4:37:30 PM,2,Button Change: Detection status of crimp error 1 is to ON,2575,1,
77,30/4/2018 4:37:30 PM,2,Button Change: Detection status of no terminal 1 is to ON,2577,1,
78,30/4/2018 4:37:30 PM,2,Button Change: Detection status of terminal overload 1 is to ON,2579,1,
79,30/4/2018 4:37:31 PM,2,Button Change: Crimp 2 Switch is to ON,1282,1,
80,30/4/2018 4:37:31 PM,2,Button Change: Detection status of crimp error 2 is to ON,2576,1,
81,30/4/2018 4:37:31 PM,2,Button Change: Detection status of no terminal 2 is to ON,2578,1,
82,30/4/2018 4:37:31 PM,2,Button Change: Detection status of terminal overload 2 is to ON,2580,1,
83,30/4/2018 4:37:35 PM,2,Button Change: CFM Teaching status is to ON,1806,1,
84,30/4/2018 4:37:37 PM,2,Button Change: NORMAL is to OFF,257,0,
85,30/4/2018 4:37:37 PM,2,Button Change: SAMPLE is to ON,261,1,
86,30/4/2018 4:37:43 PM,3,Error Message: Defect detection: Side 1 seal miss-insert is Occurred,48,1,
87,30/4/2018 4:37:44 PM,3,Error Message: Defect detection: Side 1 seal miss-insert is Cancel,48,0,
88,30/4/2018 4:37:47 PM,2,Button Change: Strip teaching status 1 is to ON,2053,1,
89,30/4/2018 4:37:50 PM,2,Button Change: Strip teaching status 1 is to OFF,2053,0,
90,30/4/2018 4:37:50 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
91,30/4/2018 4:37:51 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
92,30/4/2018 4:37:53 PM,3,Error Message: Eject the teaching wire. is Occurred,80,1,
93,30/4/2018 4:37:54 PM,3,Error Message: Eject the teaching wire. is Cancel,80,0,
94,30/4/2018 4:38:32 PM,1,Work Data Change: Crimp Height 2 is from 0.66 to 0.78,1282,0.66,0.78
95,30/4/2018 4:38:52 PM,1,Work Data Change: Strip Length 1 is from 3.5 to 3.9,513,3.5,3.9
96,30/4/2018 4:39:12 PM,1,Work Data Change: Crimp Height 2 is from 0.78 to 0.82,1282,0.78,0.82
97,30/4/2018 4:39:27 PM,1,Work Data Change: Strip Length 1 is from 3.9 to 4.2,513,3.9,4.2
98,30/4/2018 4:42:48 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
99,30/4/2018 4:42:48 PM,3,Error Message: Defect detection: Side2 miss-crimp (CFM) is Occurred,82,1,
100,30/4/2018 4:42:52 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
101,30/4/2018 4:42:52 PM,3,Error Message: Defect detection: Side2 miss-crimp (CFM) is Cancel,82,0,
102,30/4/2018 4:42:52 PM,2,Button Change: CFM Teaching status is to OFF,1806,0,
103,30/4/2018 4:42:56 PM,3,Error Message: Defect detection: Side1 miss-crimp (CFM) is Occurred,81,1,
104,30/4/2018 4:42:59 PM,3,Error Message: Defect detection: Side1 miss-crimp (CFM) is Cancel,81,0,
105,30/4/2018 4:43:02 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
106,30/4/2018 4:43:02 PM,3,Error Message: Defect detection: Side1 miss-crimp (CFM) is Occurred,81,1,
107,30/4/2018 4:43:04 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
108,30/4/2018 4:43:04 PM,3,Error Message: Defect detection: Side1 miss-crimp (CFM) is Cancel,81,0,
109,30/4/2018 4:43:07 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
110,30/4/2018 4:43:07 PM,3,Error Message: Defect detection: Side1 miss-crimp (CFM) is Occurred,81,1,
111,30/4/2018 4:43:11 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
112,30/4/2018 4:43:11 PM,3,Error Message: Defect detection: Side1 miss-crimp (CFM) is Cancel,81,0,
113,30/4/2018 4:43:19 PM,2,Button Change: CFM Teaching status is to ON,1806,1,
114,30/4/2018 4:43:23 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
115,30/4/2018 4:43:27 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
116,30/4/2018 4:45:38 PM,1,Work Data Change: Strip Length 2 is from 3.4 to 3.0,769,3.4,3
117,30/4/2018 4:45:46 PM,2,Button Change: CFM Teaching status is to OFF,1806,0,
118,30/4/2018 4:46:09 PM,3,Error Message: Defect detection: Side1 miss-crimp (CFM) is Occurred,81,1,
119,30/4/2018 4:46:11 PM,3,Error Message: Defect detection: Side1 miss-crimp (CFM) is Cancel,81,0,
120,30/4/2018 4:46:14 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
121,30/4/2018 4:46:14 PM,3,Error Message: Defect detection: Side1 miss-crimp (CFM) is Occurred,81,1,
122,30/4/2018 4:46:15 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
123,30/4/2018 4:46:15 PM,3,Error Message: Defect detection: Side1 miss-crimp (CFM) is Cancel,81,0,
124,30/4/2018 4:46:17 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
125,30/4/2018 4:46:17 PM,3,Error Message: Defect detection: Side1 miss-crimp (CFM) is Occurred,81,1,
126,30/4/2018 4:46:20 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
127,30/4/2018 4:46:20 PM,3,Error Message: Defect detection: Side1 miss-crimp (CFM) is Cancel,81,0,
128,30/4/2018 4:46:32 PM,2,Button Change: CFM Teaching status is to ON,1806,1,
129,30/4/2018 4:46:35 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
130,30/4/2018 4:46:36 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
131,30/4/2018 4:47:25 PM,1,Work Data Change: Strip Length 2 is from 3.0 to 2.8,769,3,2.8
132,30/4/2018 4:47:43 PM,1,Work Data Change: Strip Length 1 is from 4.2 to 4.0,513,4.2,4
133,30/4/2018 4:47:47 PM,1,Work Data Change: Strip Length 2 is from 2.8 to 2.6,769,2.8,2.6
134,30/4/2018 4:47:51 PM,2,Button Change: NORMAL is to ON,257,1,
135,30/4/2018 4:47:51 PM,2,Button Change: SAMPLE is to OFF,261,0,
136,30/4/2018 4:50:07 PM,3,Error Message: Wire joint is Occurred,28,1,
137,30/4/2018 4:50:08 PM,3,Error Message: Wire joint is Cancel,28,0,
138,30/4/2018 4:50:10 PM,3,Error Message: Abnormal feed deflection is Occurred,32,1,
139,30/4/2018 4:50:10 PM,3,Error Message: Wire joint is Occurred,28,1,
140,30/4/2018 4:50:10 PM,3,Error Message: Abnormal feed deflection is Cancel,32,0,
141,30/4/2018 4:50:22 PM,3,Error Message: Feed roller is opened is Occurred,114,1,
142,30/4/2018 4:51:00 PM,3,Error Message: Under switching selector is Occurred,35,1,
143,30/4/2018 4:52:53 PM,3,Error Message: Under switching selector is Cancel,35,0,
144,30/4/2018 4:52:54 PM,3,Error Message: Feed roller is opened is Cancel,114,0,
145,30/4/2018 4:52:55 PM,3,Error Message: Feed roller is opened is Occurred,114,1,
146,30/4/2018 4:52:56 PM,3,Error Message: Under switching selector is Occurred,35,1,
147,30/4/2018 4:53:02 PM,3,Error Message: Under switching selector is Cancel,35,0,
148,30/4/2018 4:53:03 PM,3,Error Message: Feed roller is opened is Cancel,114,0,
149,30/4/2018 4:53:04 PM,3,Error Message: Feed roller is opened is Occurred,114,1,
150,30/4/2018 4:53:06 PM,3,Error Message: Feed roller is opened is Cancel,114,0,
151,30/4/2018 4:53:18 PM,3,Error Message: Wire joint is Cancel,28,0,
152,30/4/2018 4:53:19 PM,3,Error Message: Swing cover is opened is Occurred,86,1,
153,30/4/2018 4:53:32 PM,3,Error Message: Swing cover is opened is Cancel,86,0,
154,30/4/2018 4:53:35 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
155,30/4/2018 4:53:36 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
156,30/4/2018 4:53:43 PM,2,Button Change: CFM Teaching status is to OFF,1806,0,
157,30/4/2018 4:53:57 PM,1,Work Data Change: Crimp Position 2 is from 9.4 to 9.6,1281,9.4,9.6
158,30/4/2018 4:54:37 PM,1,Work Data Change: Seal 1 Insert Length is from 5.2 to 5.0,1537,5.2,5
159,30/4/2018 4:55:15 PM,1,Work Data Change: Crimp Position 1 is from 10.4 to 10.5,1025,10.4,10.5
160,30/4/2018 4:55:21 PM,1,Work Data Change: Strip Length 1 is from 4.0 to 3.9,513,4,3.9
161,30/4/2018 5:02:05 PM,1,Work Data Change: Crimp Height 2 is from 0.82 to 0.88,1282,0.82,0.88
162,30/4/2018 5:02:24 PM,2,Button Change: CFM Teaching status is to ON,1806,1,
163,30/4/2018 5:02:31 PM,2,Button Change: NORMAL is to OFF,257,0,
164,30/4/2018 5:02:31 PM,2,Button Change: SAMPLE is to ON,261,1,
165,30/4/2018 5:02:32 PM,3,Error Message: Side 1 terminal overload is Occurred,46,1,
166,30/4/2018 5:02:33 PM,3,Error Message: Side 1 terminal overload is Cancel,46,0,
167,30/4/2018 5:03:03 PM,2,Button Change: NORMAL is to ON,257,1,
168,30/4/2018 5:03:03 PM,2,Button Change: SAMPLE is to OFF,261,0,
169,30/4/2018 5:03:17 PM,2,Button Change: CFM Teaching status is to OFF,1806,0,
170,30/4/2018 5:04:27 PM,3,Error Message: Side 1 terminal overload is Occurred,46,1,
171,30/4/2018 5:05:10 PM,3,Error Message: Side 1 terminal overload is Cancel,46,0,
172,30/4/2018 5:08:47 PM,3,Error Message: Side 1 terminal overload is Occurred,46,1,
173,30/4/2018 5:09:14 PM,3,Error Message: Side 1 terminal overload is Cancel,46,0,
174,30/4/2018 5:13:54 PM,3,Error Message: Wire joint is Occurred,28,1,
175,30/4/2018 5:13:54 PM,3,Error Message: Wire joint is Cancel,28,0,
176,30/4/2018 5:13:59 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
177,30/4/2018 5:14:00 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
178,30/4/2018 5:24:04 PM,1,Work Data Change: Wire Length is from 2850 to 1083,257,2850,1083
179,30/4/2018 5:24:13 PM,3,Error Message: Side 1 terminal overload is Occurred,46,1,
180,30/4/2018 5:24:14 PM,3,Error Message: Side 1 terminal overload is Cancel,46,0,
181,30/4/2018 5:24:23 PM,3,Error Message: Feed roller is opened is Occurred,114,1,
182,30/4/2018 5:24:53 PM,3,Error Message: Feed roller is opened is Cancel,114,0,
183,30/4/2018 5:25:14 PM,2,Button Change: NORMAL is to OFF,257,0,
184,30/4/2018 5:25:14 PM,2,Button Change: SAMPLE is to ON,261,1,
185,30/4/2018 5:25:17 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
186,30/4/2018 5:25:18 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
187,30/4/2018 5:25:21 PM,2,Button Change: NORMAL is to ON,257,1,
188,30/4/2018 5:25:21 PM,2,Button Change: SAMPLE is to OFF,261,0,
189,30/4/2018 5:26:02 PM,3,Error Message: Abnormal feed deflection is Occurred,32,1,
190,30/4/2018 5:26:21 PM,3,Error Message: Abnormal feed deflection is Cancel,32,0,
191,30/4/2018 5:26:25 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
192,30/4/2018 5:26:26 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
193,30/4/2018 5:26:52 PM,3,Error Message: Side 1 No seal is Occurred,47,1,
194,30/4/2018 5:27:45 PM,3,Error Message: Side 1 No seal is Cancel,47,0,
195,30/4/2018 5:27:46 PM,3,Error Message: Emergency Stop is Occurred,21,1,
196,30/4/2018 5:27:52 PM,3,Error Message: Emergency Stop is Cancel,21,0,
197,30/4/2018 5:27:53 PM,3,Error Message: Side 1 terminal overload is Occurred,46,1,
198,30/4/2018 5:27:55 PM,3,Error Message: Side 1 terminal overload is Cancel,46,0,
199,30/4/2018 5:27:55 PM,3,Error Message: Side 1 terminal overload is Occurred,46,1,
200,30/4/2018 5:28:08 PM,3,Error Message: Side 1 terminal overload is Cancel,46,0,
201,30/4/2018 5:36:41 PM,1,Work Data Change: Wire Length is from 1083 to 1128,257,1083,1128
202,30/4/2018 5:36:45 PM,2,Button Change: NORMAL is to OFF,257,0,
203,30/4/2018 5:36:45 PM,2,Button Change: SAMPLE is to ON,261,1,
204,30/4/2018 5:36:47 PM,3,Error Message: Side 1 terminal overload is Occurred,46,1,
205,30/4/2018 5:36:58 PM,3,Error Message: Side 1 terminal overload is Cancel,46,0,
206,30/4/2018 5:37:03 PM,2,Button Change: NORMAL is to ON,257,1,
207,30/4/2018 5:37:03 PM,2,Button Change: SAMPLE is to OFF,261,0,
208,30/4/2018 5:43:55 PM,2,Button Change: Crimp 1 is to OFF,770,0,
209,30/4/2018 5:43:56 PM,2,Button Change: Seal 1 is to OFF,771,0,
210,30/4/2018 5:43:56 PM,2,Button Change: Detection status of no seal 1 is to OFF,2581,0,
211,30/4/2018 5:43:56 PM,2,Button Change: Detection status of seal insert error 1 is to OFF,2583,0,
212,30/4/2018 5:43:57 PM,2,Button Change: Crimp 1 Switch is to OFF,1281,0,
213,30/4/2018 5:43:57 PM,2,Button Change: Strip 1 is to OFF,769,0,
214,30/4/2018 5:43:57 PM,2,Button Change: Detection status of crimp error 1 is to OFF,2575,0,
215,30/4/2018 5:43:57 PM,2,Button Change: Detection status of no terminal 1 is to OFF,2577,0,
216,30/4/2018 5:43:57 PM,2,Button Change: Detection status of terminal overload 1 is to OFF,2579,0,
217,30/4/2018 5:43:57 PM,2,Button Change: Detection status of strip error 1 is to OFF,2573,0,
218,30/4/2018 5:43:57 PM,2,Button Change: Strip 1 is to ON,769,1,
219,30/4/2018 5:43:57 PM,2,Button Change: Detection status of strip error 1 is to ON,2573,1,
220,30/4/2018 5:44:16 PM,1,Work Data Change: Wire Length is from 1128 to 1063,257,1128,1063
221,30/4/2018 5:44:22 PM,2,Button Change: NORMAL is to OFF,257,0,
222,30/4/2018 5:44:22 PM,2,Button Change: SAMPLE is to ON,261,1,
223,30/4/2018 5:44:51 PM,1,Work Data Change: Strip Length 1 is from 3.9 to 4.0,513,3.9,4
224,30/4/2018 5:44:55 PM,1,Work Data Change: Strip Length 1 is from 4.0 to 4.2,513,4,4.2
225,30/4/2018 5:44:59 PM,2,Button Change: NORMAL is to ON,257,1,
226,30/4/2018 5:44:59 PM,2,Button Change: SAMPLE is to OFF,261,0,
227,30/4/2018 5:51:32 PM,1,Work Data Change: Wire Length is from 1063 to 1048,257,1063,1048
228,30/4/2018 5:51:32 PM,1,Work Data Change: Strip Length 1 is from 4.2 to 4.3,513,4.2,4.3
229,30/4/2018 5:52:15 PM,2,Button Change: NORMAL is to OFF,257,0,
230,30/4/2018 5:52:15 PM,2,Button Change: SAMPLE is to ON,261,1,
231,30/4/2018 5:52:21 PM,2,Button Change: NORMAL is to ON,257,1,
232,30/4/2018 5:52:21 PM,2,Button Change: SAMPLE is to OFF,261,0,
233,30/4/2018 5:53:47 PM,3,Error Message: Abnormal feed deflection is Occurred,32,1,
234,30/4/2018 5:54:06 PM,3,Error Message: Abnormal feed deflection is Cancel,32,0,
235,30/4/2018 5:54:10 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
236,30/4/2018 5:54:11 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
237,30/4/2018 6:04:02 PM,3,Error Message: Feed roller is opened is Occurred,114,1,
238,30/4/2018 6:04:19 PM,3,Error Message: Feed roller is opened is Cancel,114,0,
239,30/4/2018 6:06:04 PM,2,Button Change: Crimp 1 is to ON,770,1,
240,30/4/2018 6:06:04 PM,2,Button Change: Seal 1 is to ON,771,1,
241,30/4/2018 6:06:04 PM,2,Button Change: Detection status of no seal 1 is to ON,2581,1,
242,30/4/2018 6:06:04 PM,2,Button Change: Detection status of seal insert error 1 is to ON,2583,1,
243,30/4/2018 6:06:33 PM,1,Work Data Change: Wire Length is from 1048 to 1073,257,1048,1073
244,30/4/2018 6:06:34 PM,1,Work Data Change: Strip Length 1 is from 4.3 to 3.5,513,4.3,3.5
245,30/4/2018 6:06:37 PM,2,Button Change: Crimp 1 Switch is to ON,1281,1,
246,30/4/2018 6:06:37 PM,2,Button Change: Detection status of crimp error 1 is to ON,2575,1,
247,30/4/2018 6:06:37 PM,2,Button Change: Detection status of no terminal 1 is to ON,2577,1,
248,30/4/2018 6:06:37 PM,2,Button Change: Detection status of terminal overload 1 is to ON,2579,1,
249,30/4/2018 6:06:42 PM,1,Work Data Change: Strip Length 1 is from 3.5 to 3.8,513,3.5,3.8
250,30/4/2018 6:06:49 PM,2,Button Change: NORMAL is to OFF,257,0,
251,30/4/2018 6:06:49 PM,2,Button Change: SAMPLE is to ON,261,1,
252,30/4/2018 6:06:51 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
253,30/4/2018 6:06:53 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
254,30/4/2018 6:07:31 PM,2,Button Change: NORMAL is to ON,257,1,
255,30/4/2018 6:07:31 PM,2,Button Change: SAMPLE is to OFF,261,0,
256,30/4/2018 6:08:49 PM,3,Error Message: Side 1 No seal is Occurred,47,1,
257,30/4/2018 6:09:22 PM,3,Error Message: Side 1 No seal is Cancel,47,0,
258,30/4/2018 6:09:23 PM,3,Error Message: Emergency Stop is Occurred,21,1,
259,30/4/2018 6:09:27 PM,3,Error Message: Emergency Stop is Cancel,21,0,
260,30/4/2018 6:11:56 PM,3,Error Message: Side 1 terminal overload is Occurred,46,1,
261,30/4/2018 6:13:29 PM,3,Error Message: Side 1 terminal overload is Cancel,46,0,
262,30/4/2018 6:13:51 PM,3,Error Message: Wire overload is Occurred,27,1,
263,30/4/2018 6:13:53 PM,3,Error Message: Wire overload is Cancel,27,0,
264,30/4/2018 6:13:57 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
265,30/4/2018 6:13:58 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
266,30/4/2018 6:20:09 PM,3,Error Message: Side 1 No seal is Occurred,47,1,
267,30/4/2018 6:20:15 PM,3,Error Message: Side 1 No seal is Cancel,47,0,
268,30/4/2018 6:20:43 PM,3,Error Message: Emergency Stop is Occurred,21,1,
269,30/4/2018 6:20:47 PM,3,Error Message: Emergency Stop is Cancel,21,0,
270,30/4/2018 6:20:47 PM,3,Error Message: Side 1 terminal overload is Occurred,46,1,
271,30/4/2018 6:20:51 PM,3,Error Message: Side 1 terminal overload is Cancel,46,0,
272,30/4/2018 6:20:52 PM,3,Error Message: Side 1 terminal overload is Occurred,46,1,
273,30/4/2018 6:21:04 PM,3,Error Message: Side 1 terminal overload is Cancel,46,0,
274,30/4/2018 6:23:24 PM,1,Work Data Change: Wire Length is from 1073 to 1127,257,1073,1127
275,30/4/2018 6:23:28 PM,2,Button Change: NORMAL is to OFF,257,0,
276,30/4/2018 6:23:28 PM,2,Button Change: SAMPLE is to ON,261,1,
277,30/4/2018 6:23:39 PM,2,Button Change: Clear total counter is to ON,2305,1,
278,30/4/2018 6:23:40 PM,2,Button Change: Clear total counter is to OFF,2305,0,
279,30/4/2018 6:23:42 PM,2,Button Change: NORMAL is to ON,257,1,
280,30/4/2018 6:23:42 PM,2,Button Change: SAMPLE is to OFF,261,0,
281,30/4/2018 6:31:57 PM,3,Error Message: Abnormal feed deflection is Occurred,32,1,
282,30/4/2018 6:32:29 PM,3,Error Message: Abnormal feed deflection is Cancel,32,0,
283,30/4/2018 6:32:34 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
284,30/4/2018 6:32:35 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
285,30/4/2018 6:32:40 PM,3,Error Message: Abnormal feed deflection is Occurred,32,1,
286,30/4/2018 6:32:53 PM,3,Error Message: Abnormal feed deflection is Cancel,32,0,
287,30/4/2018 6:32:58 PM,3,Error Message: Stop before the waster eject is Occurred,70,1,
288,30/4/2018 6:32:59 PM,3,Error Message: Stop before the waster eject is Cancel,70,0,
289,30/4/2018 6:39:47 PM,3,Error Message: Feed roller is opened is Occurred,114,1,
290,30/4/2018 6:40:00 PM,3,Error Message: Feed roller is opened is Cancel,114,0,
291,30/4/2018 6:43:34 PM,1,Work Data Change: Wire Length is from 1127 to 1123,257,1127,1123
292,30/4/2018 6:43:37 PM,2,Button Change: NORMAL is to OFF,257,0,
