Date,Unknown,Message,Code,Parameter_from,Parameter_to
1/5/18 1:37,2,Button Change: Detection status of terminal overload 2 is to OFF,2580,0,
1/5/18 1:37,1,Work Data Change: Wire Length is from 1705 to 1675,257,1705,1675
1/5/18 1:37,1,Work Data Change: Strip Depth (Open length) is from 0.55 to 0.35,515,0.55,0.35
1/5/18 1:37,1,Work Data Change: Strip Length 1 is from 3.7 to 3.2,513,3.7,3.2
1/5/18 1:37,1,Work Data Change: Strip Length 2 is from 4.8 to 3.7,769,4.8,3.7
1/5/18 1:37,1,Work Data Change: Crimp Position 1 is from 11.6 to 10.5,1025,11.6,10.5
1/5/18 1:37,1,Work Data Change: Crimp Height 1 is from 1.04 to 0.95,1026,1.04,0.95
1/5/18 1:37,1,Work Data Change: Crimp Position 2 is from 9.0 to 8.7,1281,9,8.7
1/5/18 1:37,1,Work Data Change: Seal 1 Insert Length is from 0.0 to 7.0,1537,0,7
1/5/18 1:37,1,Work Data Change: Seal 1 Insert Back Length is from 0.0 to 0.5,1538,0,0.5
1/5/18 1:37,1,Work Data Change: Crimp Height 2 is from 1.03 to 0.62,1282,1.03,0.62
1/5/18 1:37,1,Work Data Change: Seal 1 Insert Acceleration is from 100 to 500,1540,100,500
1/5/18 1:37,1,Work Data Change: Wire Feed Speed 3 is from 5.0 to 2.5,2566,5,2.5
1/5/18 1:37,1,Work Data Change: Wire Length Correction 3 is from 0.3 to 0.7,2563,0.3,0.7
1/5/18 1:39,2,Button Change: NORMAL is to OFF,257,0,
1/5/18 1:39,2,Button Change: SAMPLE is to ON,261,1,
1/5/18 1:39,2,Button Change: Crimp 1 Switch is to ON,1281,1,
1/5/18 1:39,2,Button Change: Detection status of crimp error 1 is to ON,2575,1,
1/5/18 1:39,2,Button Change: Detection status of no terminal 1 is to ON,2577,1,
1/5/18 1:39,2,Button Change: Detection status of terminal overload 1 is to ON,2579,1,
1/5/18 1:39,2,Button Change: Crimp 2 Switch is to ON,1282,1,
1/5/18 1:39,2,Button Change: Detection status of crimp error 2 is to ON,2576,1,
1/5/18 1:39,2,Button Change: Detection status of no terminal 2 is to ON,2578,1,
1/5/18 1:39,2,Button Change: Detection status of terminal overload 2 is to ON,2580,1,
1/5/18 1:39,2,Button Change: CFM Teaching status is to ON,1806,1,
1/5/18 1:39,3,Error Message: Defect detection: Side1 miss-strip is Occurred,41,1,
1/5/18 1:39,3,Error Message: Defect detection: Side 1 seal miss-insert is Occurred,48,1,
1/5/18 1:39,3,Error Message: Stop before the waster eject is Occurred,70,1,
1/5/18 1:39,3,Error Message: Defect detection: Side1 miss-strip is Cancel,41,0,
1/5/18 1:39,3,Error Message: Defect detection: Side 1 seal miss-insert is Cancel,48,0,
1/5/18 1:39,3,Error Message: Stop before the waster eject is Cancel,70,0,
1/5/18 1:39,1,Work Data Change: Wire Length Correction 2 is from 1.7 to 0.7,2562,1.7,0.7
1/5/18 1:39,1,Work Data Change: Wire Length is from 1675 to 450,257,1675,450
1/5/18 1:39,1,Work Data Change: Wire Length Correction 2 is from 0.7 to 1.7,2562,0.7,1.7
1/5/18 1:39,2,Button Change: Strip teaching status 1 is to ON,2053,1,
1/5/18 1:39,2,Button Change: Strip teaching status 2 is to ON,2055,1,
1/5/18 1:39,2,Button Change: Strip teaching status 2 is to OFF,2055,0,
1/5/18 1:39,2,Button Change: Strip teaching status 1 is to OFF,2053,0,
1/5/18 1:39,3,Error Message: Eject the teaching wire. is Occurred,80,1,
1/5/18 1:39,3,Error Message: Eject the teaching wire. is Cancel,80,0,
1/5/18 1:39,3,Error Message: Eject the teaching wire. is Occurred,80,1,
1/5/18 1:39,3,Error Message: Eject the teaching wire. is Cancel,80,0,
1/5/18 1:39,1,Work Data Change: Crimp Height 1 is from 0.95 to 1.00,1026,0.95,1
1/5/18 1:40,1,Work Data Change: Crimp Height 2 is from 0.62 to 0.97,1282,0.62,0.97
1/5/18 1:40,1,Work Data Change: Strip Length 1 is from 3.2 to 3.5,513,3.2,3.5
1/5/18 1:47,3,Error Message: Feed roller is opened is Occurred,114,1,
1/5/18 1:47,2,Button Change: Wire Loaded is to OFF,1815,0,
1/5/18 1:48,3,Error Message: Feed roller is opened is Cancel,114,0,
1/5/18 1:48,2,Button Change: Wire Loaded is to ON,1815,1,
1/5/18 1:49,10,Bank Load: Bank change into 873,873,,
1/5/18 1:49,1,Work Data Change: Wire Length Correction 2 is from 1.7 to 0.0,2562,1.7,0
1/5/18 1:49,1,Work Data Change: Wire Feed Speed 3 is from 2.5 to 10.0,2566,2.5,10
1/5/18 1:49,1,Work Data Change: Wire Length Correction 3 is from 0.7 to 1.7,2563,0.7,1.7
1/5/18 1:49,2,Button Change: Crimp 1 Switch is to OFF,1281,0,
1/5/18 1:49,1,Work Data Change: Wire Length is from 450 to 1470,257,450,1470
1/5/18 1:49,2,Button Change: Crimp 2 Switch is to OFF,1282,0,
1/5/18 1:49,2,Button Change: Detection status of crimp error 1 is to OFF,2575,0,
1/5/18 1:49,2,Button Change: Detection status of no terminal 1 is to OFF,2577,0,
1/5/18 1:49,2,Button Change: Detection status of terminal overload 1 is to OFF,2579,0,
1/5/18 1:49,1,Work Data Change: Strip Length 1 is from 3.5 to 3.3,513,3.5,3.3
1/5/18 1:49,2,Button Change: Detection status of crimp error 2 is to OFF,2576,0,
1/5/18 1:49,2,Button Change: Detection status of no terminal 2 is to OFF,2578,0,
1/5/18 1:49,2,Button Change: Detection status of terminal overload 2 is to OFF,2580,0,
1/5/18 1:49,1,Work Data Change: Crimp Height 1 is from 1.00 to 0.40,1026,1,0.4
1/5/18 1:49,1,Work Data Change: Crimp Position 1 is from 10.5 to 10.6,1025,10.5,10.6
1/5/18 1:49,1,Work Data Change: Strip Length 2 is from 3.7 to 3.3,769,3.7,3.3
1/5/18 1:49,1,Work Data Change: CFM Program No. 1 is from 2 to 5,1029,2,5
1/5/18 1:49,1,Work Data Change: Crimp Position 2 is from 8.7 to 8.8,1281,8.7,8.8
1/5/18 1:49,1,Work Data Change: Wire Feed Speed 3 is from 10.0 to 5.0,2566,10,5
1/5/18 1:49,1,Work Data Change: Seal 1 Insert Speed is from 2500 to 2000,1539,2500,2000
1/5/18 1:49,1,Work Data Change: Crimp Height 2 is from 0.97 to 0.94,1282,0.97,0.94
1/5/18 1:49,1,Work Data Change: Wire Length Correction 3 is from 1.7 to 0.5,2563,1.7,0.5
1/5/18 1:51,2,Button Change: Crimp 1 Switch is to ON,1281,1,
1/5/18 1:51,2,Button Change: Detection status of crimp error 1 is to ON,2575,1,
1/5/18 1:51,2,Button Change: Detection status of no terminal 1 is to ON,2577,1,
1/5/18 1:51,2,Button Change: Detection status of terminal overload 1 is to ON,2579,1,
1/5/18 1:51,2,Button Change: Crimp 2 Switch is to ON,1282,1,
1/5/18 1:51,2,Button Change: Detection status of crimp error 2 is to ON,2576,1,
1/5/18 1:51,2,Button Change: Detection status of no terminal 2 is to ON,2578,1,
1/5/18 1:51,2,Button Change: Detection status of terminal overload 2 is to ON,2580,1,
1/5/18 1:51,3,Error Message: Stop before the waster eject is Occurred,70,1,
1/5/18 1:51,3,Error Message: Stop before the waster eject is Cancel,70,0,
1/5/18 1:52,1,Work Data Change: Crimp Position 2 is from 8.8 to 8.7,1281,8.8,8.7
1/5/18 1:52,2,Button Change: CFM Teaching status is to OFF,1806,0,
1/5/18 1:52,2,Button Change: NORMAL is to ON,257,1,
1/5/18 1:52,2,Button Change: SAMPLE is to OFF,261,0,
1/5/18 2:04,2,Button Change: NORMAL is to OFF,257,0,
1/5/18 2:04,2,Button Change: EJECT is to ON,258,1,
1/5/18 2:04,2,Button Change: Crimp 1 is to OFF,770,0,
1/5/18 2:04,2,Button Change: Seal 1 is to OFF,771,0,
1/5/18 2:04,2,Button Change: Detection status of no seal 1 is to OFF,2581,0,
1/5/18 2:04,2,Button Change: Detection status of seal insert error 1 is to OFF,2583,0,
1/5/18 2:04,2,Button Change: Crimp 1 Switch is to OFF,1281,0,
1/5/18 2:04,2,Button Change: Strip 1 is to OFF,769,0,
1/5/18 2:04,2,Button Change: Detection status of crimp error 1 is to OFF,2575,0,
1/5/18 2:04,2,Button Change: Detection status of no terminal 1 is to OFF,2577,0,
1/5/18 2:04,2,Button Change: Detection status of terminal overload 1 is to OFF,2579,0,
1/5/18 2:04,2,Button Change: Detection status of strip error 1 is to OFF,2573,0,
1/5/18 2:04,2,Button Change: Strip 1 is to ON,769,1,
1/5/18 2:04,2,Button Change: Detection status of strip error 1 is to ON,2573,1,
1/5/18 2:04,1,Work Data Change: Wire Feed Speed 2 is from 10.0 to 5.0,2565,10,5
1/5/18 2:04,1,Work Data Change: Wire Length Correction 2 is from 0.0 to 0.5,2562,0,0.5
1/5/18 2:04,1,Work Data Change: Wire Feed Speed 2 is from 5.0 to 10.0,2565,5,10
1/5/18 2:04,1,Work Data Change: Wire Length Correction 2 is from 0.5 to 0.0,2562,0.5,0
1/5/18 2:04,1,Work Data Change: Wire Length is from 1470 to 435,257,1470,435
1/5/18 2:04,1,Work Data Change: Strip Length 1 is from 3.3 to 4.6,513,3.3,4.6
1/5/18 2:04,2,Button Change: SAMPLE is to ON,261,1,
1/5/18 2:04,2,Button Change: EJECT is to OFF,258,0,
1/5/18 2:05,2,Button Change: NORMAL is to ON,257,1,
1/5/18 2:05,2,Button Change: SAMPLE is to OFF,261,0,
1/5/18 2:06,3,Error Message: Defect detection: Side1 miss-strip is Occurred,41,1,
1/5/18 2:06,3,Error Message: Defect detection: Side1 miss-strip is Cancel,41,0,
1/5/18 2:06,3,Error Message: Stop before the waster eject is Occurred,70,1,
1/5/18 2:06,3,Error Message: Stop before the waster eject is Cancel,70,0,
1/5/18 2:07,3,Error Message: Defect detection: Side1 miss-strip is Occurred,41,1,
1/5/18 2:07,3,Error Message: Defect detection: Side1 miss-strip is Cancel,41,0,
1/5/18 2:07,3,Error Message: Stop before the waster eject is Occurred,70,1,
1/5/18 2:07,3,Error Message: Stop before the waster eject is Cancel,70,0,
1/5/18 2:10,3,Error Message: Defect detection: Side1 miss-strip is Occurred,41,1,
1/5/18 2:10,3,Error Message: Defect detection: Side1 miss-strip is Cancel,41,0,
1/5/18 2:10,3,Error Message: Stop before the waster eject is Occurred,70,1,
1/5/18 2:10,3,Error Message: Stop before the waster eject is Cancel,70,0,
1/5/18 2:11,1,Work Data Change: Wire Feed Speed 3 is from 5.0 to 10.0,2566,5,10
1/5/18 2:11,1,Work Data Change: Wire Length Correction 3 is from 0.5 to 0.0,2563,0.5,0
1/5/18 2:11,1,Work Data Change: Wire Feed Speed 3 is from 10.0 to 5.0,2566,10,5
1/5/18 2:11,1,Work Data Change: Wire Length Correction 3 is from 0.0 to 0.5,2563,0,0.5
1/5/18 2:11,1,Work Data Change: Wire Length is from 435 to 1470,257,435,1470
1/5/18 2:11,2,Button Change: Crimp 1 is to ON,770,1,
1/5/18 2:11,2,Button Change: Crimp 1 Switch is to ON,1281,1,
1/5/18 2:11,2,Button Change: Detection status of crimp error 1 is to ON,2575,1,
1/5/18 2:11,2,Button Change: Detection status of no terminal 1 is to ON,2577,1,
1/5/18 2:11,2,Button Change: Detection status of terminal overload 1 is to ON,2579,1,
1/5/18 2:11,2,Button Change: Seal 1 is to ON,771,1,
1/5/18 2:11,2,Button Change: Detection status of no seal 1 is to ON,2581,1,
1/5/18 2:11,2,Button Change: Detection status of seal insert error 1 is to ON,2583,1,
1/5/18 2:11,1,Work Data Change: Strip Length 1 is from 4.6 to 3.5,513,4.6,3.5
1/5/18 2:11,2,Button Change: NORMAL is to OFF,257,0,
1/5/18 2:11,2,Button Change: SAMPLE is to ON,261,1,
1/5/18 2:12,3,Error Message: Feed roller is opened is Occurred,114,1,
1/5/18 2:12,2,Button Change: Wire Loaded is to OFF,1815,0,
1/5/18 2:13,3,Error Message: Feed roller is opened is Cancel,114,0,
1/5/18 2:13,2,Button Change: Wire Loaded is to ON,1815,1,
1/5/18 2:14,3,Error Message: Stop before the waster eject is Occurred,70,1,
1/5/18 2:14,3,Error Message: Stop before the waster eject is Cancel,70,0,
1/5/18 2:15,3,Error Message: Stop before the waster eject is Occurred,70,1,
1/5/18 2:15,3,Error Message: Defect detection: Side2 miss-crimp (CFM) is Occurred,82,1,
1/5/18 2:15,3,Error Message: Stop before the waster eject is Cancel,70,0,
1/5/18 2:15,3,Error Message: Defect detection: Side2 miss-crimp (CFM) is Cancel,82,0,
1/5/18 2:15,3,Error Message: Stop before the waster eject is Occurred,70,1,
1/5/18 2:15,3,Error Message: Defect detection: Side2 miss-crimp (CFM) is Occurred,82,1,
1/5/18 2:15,3,Error Message: Stop before the waster eject is Cancel,70,0,
1/5/18 2:15,3,Error Message: Defect detection: Side2 miss-crimp (CFM) is Cancel,82,0,
1/5/18 2:15,2,Button Change: CFM Teaching status is to ON,1806,1,
1/5/18 2:16,2,Button Change: NORMAL is to ON,257,1,
1/5/18 2:16,2,Button Change: SAMPLE is to OFF,261,0,
1/5/18 2:16,2,Button Change: CFM Teaching status is to OFF,1806,0,
1/5/18 2:17,1,Work Data Change: Crimp Position 1 is from 10.6 to 10.7,1025,10.6,10.7
1/5/18 2:27,3,Error Message: Feed roller is opened is Occurred,114,1,
1/5/18 2:27,2,Button Change: Wire Loaded is to OFF,1815,0,
1/5/18 2:28,3,Error Message: Feed roller is opened is Cancel,114,0,
1/5/18 2:28,2,Button Change: Wire Loaded is to ON,1815,1,
1/5/18 2:30,3,Error Message: Feed roller is opened is Occurred,114,1,
1/5/18 2:30,2,Button Change: Wire Loaded is to OFF,1815,0,
1/5/18 2:32,3,Error Message: Feed roller is opened is Cancel,114,0,
1/5/18 2:32,2,Button Change: Wire Loaded is to ON,1815,1,
1/5/18 2:32,10,Bank Load: Bank change into 873,873,,
1/5/18 2:32,2,Button Change: Crimp 1 Switch is to OFF,1281,0,
1/5/18 2:32,2,Button Change: Crimp 2 Switch is to OFF,1282,0,
1/5/18 2:32,2,Button Change: Detection status of crimp error 1 is to OFF,2575,0,
1/5/18 2:32,2,Button Change: Detection status of no terminal 1 is to OFF,2577,0,
1/5/18 2:32,2,Button Change: Detection status of terminal overload 1 is to OFF,2579,0,
1/5/18 2:32,2,Button Change: Detection status of crimp error 2 is to OFF,2576,0,
1/5/18 2:32,2,Button Change: Detection status of no terminal 2 is to OFF,2578,0,
1/5/18 2:32,2,Button Change: Detection status of terminal overload 2 is to OFF,2580,0,
1/5/18 2:32,2,Button Change: Crimp 1 Switch is to ON,1281,1,
1/5/18 2:32,2,Button Change: Detection status of crimp error 1 is to ON,2575,1,
1/5/18 2:32,2,Button Change: Detection status of no terminal 1 is to ON,2577,1,
1/5/18 2:32,2,Button Change: Detection status of terminal overload 1 is to ON,2579,1,
1/5/18 2:32,2,Button Change: NORMAL is to OFF,257,0,
1/5/18 2:32,2,Button Change: SAMPLE is to ON,261,1,
1/5/18 2:32,2,Button Change: Crimp 2 Switch is to ON,1282,1,
2/5/18 8:12,10,Bank Load: Bank change into 1269,1269,,
2/5/18 8:16,10,Bank Load: Bank change into 996,996,,
2/5/18 8:18,2,Button Change: NORMAL is to OFF,257,0,
2/5/18 8:18,2,Button Change: SAMPLE is to ON,261,1,
2/5/18 8:18,3,Error Message: Defect detection: Side 1 seal miss-insert is Occurred,48,1,
2/5/18 8:18,3,Error Message: Stop before the waster eject is Occurred,70,1,
2/5/18 8:18,3,Error Message: Defect detection: Side 1 seal miss-insert is Cancel,48,0,
2/5/18 8:18,3,Error Message: Stop before the waster eject is Cancel,70,0,
2/5/18 8:18,3,Error Message: Stop before the waster eject is Occurred,70,1,
2/5/18 8:18,3,Error Message: Stop before the waster eject is Cancel,70,0,
2/5/18 8:19,2,Button Change: Crimp 1 Switch is to ON,1281,1,
2/5/18 8:19,2,Button Change: Crimp 2 Switch is to ON,1282,1,
2/5/18 8:19,2,Button Change: Detection status of crimp error 1 is to ON,2575,1,
2/5/18 8:19,2,Button Change: Detection status of no terminal 1 is to ON,2577,1,
2/5/18 8:19,2,Button Change: Detection status of terminal overload 1 is to ON,2579,1,
2/5/18 8:19,2,Button Change: NORMAL is to ON,257,1,
2/5/18 8:19,2,Button Change: SAMPLE is to OFF,261,0,
2/5/18 8:19,2,Button Change: Detection status of crimp error 2 is to ON,2576,1,
2/5/18 8:19,2,Button Change: Detection status of no terminal 2 is to ON,2578,1,
2/5/18 8:19,2,Button Change: Detection status of terminal overload 2 is to ON,2580,1,
2/5/18 8:19,2,Button Change: NORMAL is to OFF,257,0,
2/5/18 8:19,2,Button Change: SAMPLE is to ON,261,1,
2/5/18 8:20,2,Button Change: CFM Teaching status is to ON,1806,1,
2/5/18 8:21,2,Button Change: Crimp 1 Switch is to OFF,1281,0,
2/5/18 8:21,2,Button Change: Detection status of crimp error 1 is to OFF,2575,0,
2/5/18 8:21,2,Button Change: Detection status of no terminal 1 is to OFF,2577,0,
2/5/18 8:21,2,Button Change: Detection status of terminal overload 1 is to OFF,2579,0,
2/5/18 8:21,2,Button Change: Seal 1 is to OFF,771,0,
2/5/18 8:21,2,Button Change: Detection status of no seal 1 is to OFF,2581,0,
2/5/18 8:21,2,Button Change: Detection status of seal insert error 1 is to OFF,2583,0,
2/5/18 8:21,2,Button Change: Crimp 1 is to OFF,770,0,
2/5/18 8:21,1,Work Data Change: Crimp Height 2 is from 0.56 to 0.88,1282,0.56,
2/5/18 8:22,3,Error Message: Stop before the waster eject is Occurred,70,1,
2/5/18 8:22,3,Error Message: Defect detection: Side2 miss-crimp (CFM) is Occurred,82,1,
2/5/18 8:22,3,Error Message: Stop before the waster eject is Cancel,70,0,
2/5/18 8:22,3,Error Message: Defect detection: Side2 miss-crimp (CFM) is Cancel,82,0,
2/5/18 8:22,1,Work Data Change: Crimp Height 2 is from 0.88 to 0.91,1282,0.88,
2/5/18 8:22,1,Work Data Change: Crimp Height 2 is from 0.91 to 0.12,1282,0.91,
2/5/18 8:23,3,Error Message: Stop before the waster eject is Occurred,70,1,
2/5/18 8:23,3,Error Message: Defect detection: Side2 miss-crimp (CFM) is Occurred,82,1,
2/5/18 8:23,3,Error Message: Stop before the waster eject is Cancel,70,0,
2/5/18 8:23,3,Error Message: Defect detection: Side2 miss-crimp (CFM) is Cancel,82,0,
2/5/18 8:23,1,Work Data Change: Crimp Height 2 is from 0.12 to 0.66,1282,0.12,
2/5/18 8:23,1,Work Data Change: Crimp Height 2 is from 0.66 to 0.88,1282,0.66,
2/5/18 8:24,2,Button Change: Seal 1 is to ON,771,1,
2/5/18 8:24,2,Button Change: Detection status of no seal 1 is to ON,2581,1,
2/5/18 8:24,2,Button Change: Detection status of seal insert error 1 is to ON,2583,1,
2/5/18 8:24,2,Button Change: Crimp 1 is to ON,770,1,
2/5/18 8:24,2,Button Change: Crimp 1 Switch is to ON,1281,1,
2/5/18 8:24,2,Button Change: Detection status of crimp error 1 is to ON,2575,1,
2/5/18 8:24,2,Button Change: Detection status of no terminal 1 is to ON,2577,1,
2/5/18 8:24,2,Button Change: Detection status of terminal overload 1 is to ON,2579,1,
2/5/18 8:24,1,Work Data Change: Crimp Position 2 is from 8.6 to 8.8,1281,8.6,
2/5/18 8:24,1,Work Data Change: Crimp Position 2 is from 8.8 to 8.9,1281,8.8,
2/5/18 8:24,1,Work Data Change: Crimp Position 1 is from 10.5 to 10.6,1025,10.5,
2/5/18 8:25,1,Work Data Change: Crimp Height 1 is from 0.95 to 1.00,1026,0.95,
2/5/18 8:25,3,Error Message: Defect detection: Side1 miss-crimp (CFM) is Occurred,81,1,
2/5/18 8:25,3,Error Message: Defect detection: Side1 miss-crimp (CFM) is Cancel,81,0,
2/5/18 8:25,2,Button Change: CFM Teaching status is to OFF,1806,0,
2/5/18 8:25,2,Button Change: CFM Teaching status is to ON,1806,1,
2/5/18 8:25,3,Error Message: Stop before the waster eject is Occurred,70,1,
2/5/18 8:25,3,Error Message: Stop before the waster eject is Cancel,70,0,
2/5/18 8:26,1,Work Data Change: Strip Length 2 is from 3.7 to 3.5,769,3.7,
2/5/18 8:26,1,Work Data Change: Crimp Position 2 is from 8.9 to 8.8,1281,8.9,
2/5/18 8:26,2,Button Change: NORMAL is to ON,257,1,
2/5/18 8:26,2,Button Change: SAMPLE is to OFF,261,0,
2/5/18 8:26,2,Button Change: CFM Teaching status is to OFF,1806,0,
2/5/18 8:27,3,Error Message: No wire is Occurred,26,1,
2/5/18 8:27,3,Error Message: Wire joint is Occurred,28,1,
2/5/18 8:27,3,Error Message: No wire is Cancel,26,0,
2/5/18 8:27,3,Error Message: Wire joint is Cancel,28,0,
2/5/18 8:31,3,Error Message: Feed roller is opened is Occurred,114,1,
2/5/18 8:31,2,Button Change: Wire Loaded is to OFF,1815,0,
2/5/18 8:31,3,Error Message: Feed roller is opened is Cancel,114,0,
2/5/18 8:31,2,Button Change: Wire Loaded is to ON,1815,1,
2/5/18 8:33,1,Work Data Change: Wire Length is from 863 to 1470,257,863,
2/5/18 8:33,2,Button Change: NORMAL is to OFF,257,0,
2/5/18 8:33,2,Button Change: SAMPLE is to ON,261,1,
2/5/18 8:34,3,Error Message: Stop before the waster eject is Occurred,70,1,
2/5/18 8:34,3,Error Message: Stop before the waster eject is Cancel,70,0,
2/5/18 8:34,1,Work Data Change: Seal 1 Insert Back Length is from 0.0 to 1.5,1538,0,
2/5/18 8:34,2,Button Change: NORMAL is to ON,257,1,
2/5/18 8:34,2,Button Change: SAMPLE is to OFF,261,0,
2/5/18 8:34,1,Work Data Change: Wire Feed Speed 3 is from 5.0 to 4.0,2566,5,
2/5/18 8:34,1,Work Data Change: Strip Length 1 is from 3.4 to 3.6,513,3.4,
2/5/18 8:35,1,Work Data Change: Wire Length Correction 3 is from 0.5 to 1.2,2563,0.5,
2/5/18 8:50,1,Work Data Change: Wire Length is from 1470 to 1840,257,1470,
2/5/18 8:50,2,Button Change: NORMAL is to OFF,257,0,
2/5/18 8:50,2,Button Change: SAMPLE is to ON,261,1,
2/5/18 8:50,2,Button Change: NORMAL is to ON,257,1,
2/5/18 8:50,2,Button Change: SAMPLE is to OFF,261,0,
2/5/18 9:00,3,Error Message: Stop before the waster eject is Occurred,70,1,
2/5/18 9:00,3,Error Message: Defect detection: Side2 miss-crimp (CFM) is Occurred,82,1,
2/5/18 9:00,3,Error Message: Stop before the waster eject is Cancel,70,0,
2/5/18 9:00,3,Error Message: Defect detection: Side2 miss-crimp (CFM) is Cancel,82,0,
2/5/18 9:07,2,Button Change: Wire Loaded is to OFF,1815,0,
2/5/18 9:07,3,Error Message: Feed roller is opened is Occurred,114,1,
2/5/18 9:08,3,Error Message: Feed roller is opened is Cancel,114,0,
2/5/18 9:08,2,Button Change: Wire Loaded is to ON,1815,1,
2/5/18 9:10,1,Work Data Change: Wire Length is from 1840 to 1200,257,1840,
2/5/18 9:10,1,Work Data Change: Strip Length 2 is from 3.5 to 6.5,769,3.5,
2/5/18 9:10,2,Button Change: NORMAL is to OFF,257,0,
2/5/18 9:10,2,Button Change: SAMPLE is to ON,261,1,
2/5/18 9:10,2,Button Change: Crimp 2 Switch is to OFF,1282,0,
2/5/18 9:10,2,Button Change: Crimp 2 is to OFF,1026,0,
2/5/18 9:10,2,Button Change: Detection status of crimp error 2 is to OFF,2576,0,
2/5/18 9:10,2,Button Change: Detection status of no terminal 2 is to OFF,2578,0,
2/5/18 9:10,2,Button Change: Detection status of terminal overload 2 is to OFF,2580,0,
2/5/18 9:10,3,Error Message: Stop before the waster eject is Occurred,70,1,
2/5/18 9:10,3,Error Message: Stop before the waster eject is Cancel,70,0,
2/5/18 9:11,2,Button Change: NORMAL is to ON,257,1,
2/5/18 9:11,2,Button Change: SAMPLE is to OFF,261,0,
2/5/18 9:14,3,Error Message: Miss air-transfer: Side 1 seal is Occurred,50,1,
2/5/18 9:14,3,Error Message: Miss air-transfer: Side 1 seal is Cancel,50,0,
2/5/18 9:14,3,Error Message: Defect detection: Side 1 seal miss-insert is Occurred,48,1,
2/5/18 9:14,3,Error Message: Defect detection: Side 1 seal miss-insert is Cancel,48,0,
2/5/18 9:14,3,Error Message: Miss air-transfer: Side 1 seal is Occurred,50,1,
2/5/18 9:14,3,Error Message: Defect detection: Side 1 seal miss-insert is Occurred,48,1,
2/5/18 9:14,3,Error Message: Stop before the waster eject is Occurred,70,1,
2/5/18 9:14,3,Error Message: Defect detection: Side 1 seal miss-insert is Cancel,48,0,
2/5/18 9:14,3,Error Message: Miss air-transfer: Side 1 seal is Cancel,50,0,
2/5/18 9:14,3,Error Message: Stop before the waster eject is Cancel,70,0,
2/5/18 9:14,3,Error Message: Miss air-transfer: Side 1 seal is Occurred,50,1,
2/5/18 9:14,3,Error Message: Defect detection: Side 1 seal miss-insert is Occurred,48,1,
